Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-05-25;262.6;262.6;237.2;237.2;10915.25
2023-05-26;220.0;220.0;189.8;189.8;6881.1034
2023-05-30;165.4;165.4;165.4;165.4;165.4
2023-05-31;204.0;204.0;204.0;204.0;204.0
2023-06-06;206.6;206.6;194.2;194.2;3380.6
2023-06-12;171.8;171.8;171.8;171.8;343.6
2023-06-13;155.4;173.6;150.0;173.6;6825.4
2023-06-19;194.4;194.4;194.4;194.4;2235.6
2023-06-21;206.0;234.0;205.0;234.0;3704.2796
2023-06-22;235.0;235.0;235.0;235.0;2350.0
2023-06-23;245.6;262.6;245.6;262.6;6938.556
2023-07-05;213.2;213.2;207.0;207.0;3272.6979
2023-07-06;239.8;239.8;239.8;239.8;3716.9
2023-07-07;230.8;230.8;230.8;230.8;1154.0
2023-07-10;230.8;230.8;230.8;230.8;103.86
2023-07-11;221.4;221.4;221.4;221.4;199.9242
2023-07-12;228.2;228.2;228.2;228.2;102.69
2023-07-19;203.0;203.0;200.2;200.2;3017.0
2023-07-24;229.0;231.6;229.0;231.6;3451.8935
2023-07-28;217.0;217.0;215.0;215.0;1515.0
2023-08-02;190.0;226.2;190.0;226.2;7122.0
2023-08-03;228.2;229.6;223.8;223.8;12221.2512
2023-08-07;195.0;195.0;187.0;187.0;6294.1989
2023-08-08;214.6;217.0;214.6;217.0;2159.0
2023-08-09;224.8;224.8;224.8;224.8;1124.0
2023-08-10;223.8;223.8;210.4;210.4;2573.0466
2023-08-11;245.2;245.2;245.2;245.2;4683.32
2023-08-16;238.2;238.2;238.2;238.2;430.4274
2023-08-17;238.8;256.2;238.8;256.2;2497.5
2023-08-18;272.0;272.0;272.0;272.0;10530.48
2023-08-21;253.0;253.2;252.0;253.2;7016.842
2023-08-22;251.8;251.8;251.8;251.8;6955.975
2023-08-23;252.2;256.6;234.2;234.2;2234.6564
2023-08-25;273.2;278.2;268.2;268.2;15613.534
2023-09-14;229.6;229.6;229.6;229.6;574.0
2023-09-21;287.4;312.0;287.4;312.0;2287.476
2023-09-25;322.2;331.2;322.2;331.2;163.8945
2023-09-27;298.0;298.0;298.0;298.0;367.881
2023-10-05;253.6;253.6;253.6;253.6;1585.0
2023-10-11;206.2;206.2;206.2;206.2;82.48
2023-10-17;233.6;233.6;233.6;233.6;76.0368
2023-10-20;257.2;257.2;257.2;257.2;1505.6488
2023-10-26;322.6;322.6;319.8;319.8;4864.6626
2023-10-27;301.0;301.0;301.0;301.0;526.75
2023-11-01;226.6;226.6;210.0;210.0;2183.0
2023-11-02;189.0;201.8;189.0;201.8;762.4
2023-11-03;200.2;200.2;177.2;178.0;16388.54
2023-11-06;174.0;174.0;174.0;174.0;870.0
